AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Total
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,144,146,130,0,547
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,102,87,121,0,419
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,F,0,0,0,0,0,0,0,0,0,0,0,44,54,41,39,0,0,0,0,0,0,0,0,178
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,M,0,0,0,0,0,0,0,0,0,0,0,37,46,40,42,0,0,0,0,0,0,0,0,165
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,98,49,42,0,319
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,59,33,14,0,185
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,F,0,0,0,0,0,0,0,0,23,54,36,41,43,41,39,0,26,33,0,0,0,0,0,336
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,M,0,0,0,0,0,0,0,0,27,26,36,36,38,30,16,0,24,23,0,0,0,0,0,256
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,F,0,0,0,0,0,0,0,0,9,13,13,9,13,11,13,0,8,11,0,0,0,0,0,100
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,M,0,0,0,0,0,0,0,0,15,13,12,16,12,14,12,0,15,7,0,0,0,0,0,116
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,F,0,0,0,0,0,0,0,0,45,48,78,52,58,39,43,0,44,23,0,0,0,0,0,430
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,M,0,0,0,0,0,0,0,0,58,53,71,46,49,33,34,0,33,21,0,0,0,0,0,398
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,51,57,55,0,202
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,55,54,42,0,199
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,F,0,0,0,0,0,0,0,0,20,23,37,23,35,30,24,0,34,13,0,0,0,0,0,239
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,M,0,0,0,0,0,0,0,0,27,23,16,20,35,33,21,0,24,13,0,0,0,0,0,212
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,63,70,49,0,253
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,73,54,53,0,285
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,F,0,0,0,0,0,0,0,0,40,49,46,45,45,43,53,0,38,41,0,0,0,0,0,400
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,M,0,0,0,0,0,0,0,0,48,46,51,46,52,44,34,0,27,27,0,0,0,0,0,375
133513315,John B Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,0,78,85,0,0,0,0,0,299
133513315,John B Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,79,83,0,88,96,0,0,0,0,0,346
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,F,0,0,0,0,0,0,0,0,37,0,0,0,0,46,45,0,35,36,60,0,0,0,0,259
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,M,0,0,0,0,0,0,0,0,38,0,0,0,0,49,45,1,43,40,46,0,0,0,0,262
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,F,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,81
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,M,0,0,0,0,0,0,0,0,0,0,0,0,0,52,51,0,0,0,0,0,0,0,0,103
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,F,0,0,0,0,0,0,0,0,16,29,24,22,28,31,32,0,23,13,0,0,0,0,0,218
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,M,0,0,0,0,0,0,0,0,28,23,28,31,25,22,18,0,20,12,0,0,0,0,0,207
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,F,0,0,0,0,0,0,0,0,23,23,26,34,27,25,21,0,24,24,0,0,0,0,0,227
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,M,0,0,0,0,0,0,0,0,20,25,15,27,14,23,17,0,14,13,0,0,0,0,0,168
126513150,MAST Community Charter School,CS,Philadelphia,7574,MAST Community Charter School,F,0,0,0,0,0,0,0,0,40,38,43,43,38,54,58,0,51,55,49,47,66,54,0,636
126513150,MAST Community Charter School,CS,Philadelphia,7574,MAST Community Charter School,M,0,0,0,0,0,0,0,0,39,40,36,35,42,54,50,0,57,58,55,61,37,44,0,608
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,7672,Mariana Bracetti Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,103,95,103,79,59,56,0,579
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,7672,Mariana Bracetti Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,80,96,105,72,54,37,0,526
126510014,Maritime Academy Charter School,CS,Philadelphia,7777,Maritime Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,10,30,64,0,67,81,45,37,34,26,0,394
126510014,Maritime Academy Charter School,CS,Philadelphia,7777,Maritime Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,11,20,42,0,65,73,48,36,44,29,0,368
151514721,Mastery CS-Pickett Campus,CS,Philadelphia,7961,Mastery CS-Pickett Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,74,60,56,39,0,0,278
151514721,Mastery CS-Pickett Campus,CS,Philadelphia,7961,Mastery CS-Pickett Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,65,67,54,41,0,0,296
126510022,Mastery CS-Shoemaker Campus,CS,Philadelphia,7909,Mastery CS -Shoemaker Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,58,63,68,69,54,0,371
126510022,Mastery CS-Shoemaker Campus,CS,Philadelphia,7909,Mastery CS -Shoemaker Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,43,59,61,41,38,0,305
126510023,Mastery CS-Thomas Campus,CS,Philadelphia,7910,Mastery CS - Thomas Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,61,35,45,56,44,0,300
126510023,Mastery CS-Thomas Campus,CS,Philadelphia,7910,Mastery CS - Thomas Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,50,59,53,46,49,0,309
126510002,Mastery Charter High School,CS,Philadelphia,7678,Mastery Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,39,43,50,42,59,0,288
126510002,Mastery Charter High School,CS,Philadelphia,7678,Mastery Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,40,30,33,34,0,231
126516457,Mastery Charter School Harrity Campus,CS,Philadelphia,8153,Mastery Charter School Harrity Campus,F,0,0,0,0,0,0,0,0,51,40,56,28,50,34,43,0,38,16,0,0,0,0,0,356
126516457,Mastery Charter School Harrity Campus,CS,Philadelphia,8153,Mastery Charter School Harrity Campus,M,0,0,0,0,0,0,0,0,56,60,43,52,59,46,41,0,39,49,0,0,0,0,0,445
126519433,Mastery Charter School Mann Campus,CS,Philadelphia,8152,Mastery Charter School Mann Campus,F,0,0,0,0,0,0,0,0,36,28,38,32,33,24,0,0,0,0,0,0,0,0,0,191
126519433,Mastery Charter School Mann Campus,CS,Philadelphia,8152,Mastery Charter School Mann Campus,M,0,0,0,0,0,0,0,0,42,45,33,40,34,41,0,0,0,0,0,0,0,0,0,235
126517286,Mastery Charter School Smedley Campus,CS,Philadelphia,8151,Mastery Charter School Smedley Campus,F,0,0,0,0,0,0,0,0,55,44,51,35,45,40,0,0,0,0,0,0,0,0,0,270
126517286,Mastery Charter School Smedley Campus,CS,Philadelphia,8151,Mastery Charter School Smedley Campus,M,0,0,0,0,0,0,0,0,49,58,54,55,54,48,0,0,0,0,0,0,0,0,0,318
126513230,Math Civics and Sciences CS,CS,Philadelphia,7582,Math Civics and Sciences CS,F,0,0,0,0,0,0,0,0,0,43,50,50,42,40,48,0,47,39,43,35,28,40,0,505
126513230,Math Civics and Sciences CS,CS,Philadelphia,7582,Math Civics and Sciences CS,M,0,0,0,0,0,0,0,0,0,34,33,31,35,37,31,0,33,41,34,33,31,38,0,411
126513000,Multi-Cultural Academy CS,CS,Philadelphia,7546,Multi-Cultural Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,25,23,0,137
126513000,Multi-Cultural Academy CS,CS,Philadelphia,7546,Multi-Cultural Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,12,15,0,80
126513420,New Foundations CS,CS,Philadelphia,7649,New Foundations CS,F,0,0,0,0,0,0,0,0,27,45,40,41,33,42,28,0,26,26,43,0,0,0,0,351
126513420,New Foundations CS,CS,Philadelphia,7649,New Foundations CS,M,0,0,0,0,0,0,0,0,37,30,35,32,41,30,23,0,27,24,53,0,0,0,0,332
126510018,New Media Technology CS,CS,Philadelphia,7829,New Media Technology CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,21,23,38,40,46,42,0,222
126510018,New Media Technology CS,CS,Philadelphia,7829,New Media Technology CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,19,14,50,37,44,48,0,228
126510019,Northwood Academy CS,CS,Philadelphia,7856,Northwood Academy CS,F,0,0,0,0,0,0,0,0,44,41,49,49,46,43,50,0,29,43,0,0,0,0,0,394
126510019,Northwood Academy CS,CS,Philadelphia,7856,Northwood Academy CS,M,0,0,0,0,0,0,0,0,41,46,40,37,41,46,41,0,43,24,0,0,0,0,0,359
173515368,Pan American Academy CS,CS,Philadelphia,7985,Pan American Academy CS,F,0,0,0,0,0,0,0,0,68,4,42,26,29,28,25,0,0,0,0,0,0,0,0,222
173515368,Pan American Academy CS,CS,Philadelphia,7985,Pan American Academy CS,M,0,0,0,0,0,0,0,0,58,4,34,28,22,22,23,0,0,0,0,0,0,0,0,191
126510004,People for People CS,CS,Philadelphia,7685,People for People CS,F,0,0,0,0,0,0,0,0,34,31,29,36,35,34,34,0,35,31,0,0,0,0,0,299
126510004,People for People CS,CS,Philadelphia,7685,People for People CS,M,0,0,0,0,0,0,0,0,23,24,32,26,22,31,24,0,26,22,0,0,0,0,0,230
126513280,Philadelphia Academy CS,CS,Philadelphia,7587,Philadelphia Academy CS,F,0,0,0,0,0,0,0,0,31,46,33,34,33,33,42,0,33,40,55,57,61,53,1,552
126513280,Philadelphia Academy CS,CS,Philadelphia,7587,Philadelphia Academy CS,M,0,0,0,0,0,0,0,0,35,23,35,37,46,44,51,0,54,55,65,64,59,66,3,637
126515001,Philadelphia City SD,SD,Philadelphia,7904,Academy at Palumbo,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,75,73,55,0,325
126515001,Philadelphia City SD,SD,Philadelphia,7904,Academy at Palumbo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,60,49,61,0,242
126515001,Philadelphia City SD,SD,Philadelphia,7256,Adaire Alexander Sch,F,0,0,0,0,0,0,0,0,22,17,33,32,21,18,26,0,18,26,0,0,0,0,0,213
