AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126515001,Philadelphia City SD,SD,Philadelphia,6528,Harrington Avery D Sch,M,0,0,0,0,0,0,0,0,24,41,29,31,41,21,28,18,0,0,0,0,0,233
126515001,Philadelphia City SD,SD,Philadelphia,5125,Hartranft John F Sch,F,0,0,0,0,0,0,0,0,34,42,33,32,32,23,19,21,13,0,0,0,0,249
126515001,Philadelphia City SD,SD,Philadelphia,5125,Hartranft John F Sch,M,0,0,0,0,0,0,0,0,42,41,37,37,35,33,20,21,29,0,0,0,0,295
126515001,Philadelphia City SD,SD,Philadelphia,3712,Henry Charles W Sch,F,0,0,0,0,0,0,0,0,22,27,22,23,29,26,34,25,36,0,0,0,0,244
126515001,Philadelphia City SD,SD,Philadelphia,3712,Henry Charles W Sch,M,0,0,0,0,0,0,0,0,26,38,24,25,26,14,25,27,22,0,0,0,0,227
126515001,Philadelphia City SD,SD,Philadelphia,5187,Heston Edward Sch,F,0,0,23,0,0,0,0,0,27,47,33,27,32,30,24,24,11,0,0,0,0,278
126515001,Philadelphia City SD,SD,Philadelphia,5187,Heston Edward Sch,M,0,0,19,0,0,0,0,0,31,43,30,32,30,27,22,22,17,0,0,0,0,273
126515001,Philadelphia City SD,SD,Philadelphia,7229,Hill J E/Freedman Samson,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,35,31,0,0,0,137
126515001,Philadelphia City SD,SD,Philadelphia,7229,Hill J E/Freedman Samson,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,44,27,0,0,0,139
126515001,Philadelphia City SD,SD,Philadelphia,3766,Holme Thomas Sch,F,0,0,47,0,0,0,0,0,38,39,27,39,27,25,24,0,0,0,0,0,0,266
126515001,Philadelphia City SD,SD,Philadelphia,3766,Holme Thomas Sch,M,0,0,42,0,0,0,0,0,51,42,43,29,37,47,39,0,0,0,0,0,0,330
126515001,Philadelphia City SD,SD,Philadelphia,3742,Hopkinson Francis Sch,F,0,0,0,0,0,0,0,0,57,65,48,43,56,52,44,45,44,0,0,0,0,454
126515001,Philadelphia City SD,SD,Philadelphia,3742,Hopkinson Francis Sch,M,0,0,0,0,0,0,0,0,55,61,52,58,60,61,55,45,51,0,0,0,0,498
126515001,Philadelphia City SD,SD,Philadelphia,3713,Houston Henry E Sch,F,0,0,0,0,0,0,0,0,17,21,17,24,25,15,20,16,19,0,0,0,0,174
126515001,Philadelphia City SD,SD,Philadelphia,3713,Houston Henry E Sch,M,0,0,0,0,0,0,0,0,18,14,20,29,28,21,29,22,21,0,0,0,0,202
126515001,Philadelphia City SD,SD,Philadelphia,3743,Howe Julia Ward Sch,F,0,0,0,0,0,0,0,0,29,24,15,28,15,19,0,0,0,0,0,0,0,130
126515001,Philadelphia City SD,SD,Philadelphia,3743,Howe Julia Ward Sch,M,0,0,0,0,0,0,0,0,15,22,28,20,23,28,0,0,0,0,0,0,0,136
126515001,Philadelphia City SD,SD,Philadelphia,3807,Huey Samuel B Sch,F,0,0,0,0,0,0,0,0,36,34,33,25,33,29,23,22,28,0,0,0,0,263
126515001,Philadelphia City SD,SD,Philadelphia,3807,Huey Samuel B Sch,M,0,0,0,0,0,0,0,0,47,34,36,26,44,37,27,35,29,0,0,0,0,315
126515001,Philadelphia City SD,SD,Philadelphia,3693,Hunter William H Sch,F,0,0,20,0,0,0,0,0,30,27,20,25,32,34,21,19,29,0,0,0,0,257
126515001,Philadelphia City SD,SD,Philadelphia,3693,Hunter William H Sch,M,0,0,17,0,0,0,0,0,33,39,35,37,39,28,24,15,25,0,0,0,0,292
126515001,Philadelphia City SD,SD,Philadelphia,3642,Jackson Andrew Sch,F,0,0,14,0,0,0,0,0,44,31,26,38,16,14,17,20,18,0,0,0,0,238
126515001,Philadelphia City SD,SD,Philadelphia,3642,Jackson Andrew Sch,M,0,0,18,0,0,0,0,0,38,32,32,23,20,19,23,18,23,0,0,0,0,246
126515001,Philadelphia City SD,SD,Philadelphia,7227,Jenks Abram Sch,F,0,0,0,0,0,0,0,0,36,33,31,26,30,0,0,0,0,0,0,0,0,156
126515001,Philadelphia City SD,SD,Philadelphia,7227,Jenks Abram Sch,M,0,0,0,0,0,0,0,0,33,32,32,21,26,0,0,0,0,0,0,0,0,144
126515001,Philadelphia City SD,SD,Philadelphia,3714,Jenks John S Sch,F,0,0,0,0,0,0,0,0,22,33,25,32,30,29,29,22,26,0,0,0,0,248
126515001,Philadelphia City SD,SD,Philadelphia,3714,Jenks John S Sch,M,0,0,0,0,0,0,0,0,30,26,31,25,26,21,30,30,27,0,0,0,0,246
126515001,Philadelphia City SD,SD,Philadelphia,7963,Juniata Park Academy,F,0,0,0,0,0,0,0,0,61,64,52,62,73,52,60,53,59,0,0,0,0,536
126515001,Philadelphia City SD,SD,Philadelphia,7963,Juniata Park Academy,M,0,0,0,0,0,0,0,0,61,68,61,75,70,79,50,53,46,0,0,0,0,563
126515001,Philadelphia City SD,SD,Philadelphia,3645,Kearny Gen Philip Sch,F,0,0,0,0,0,0,0,0,28,32,26,23,30,22,20,16,18,0,0,0,0,215
126515001,Philadelphia City SD,SD,Philadelphia,3645,Kearny Gen Philip Sch,M,0,0,0,0,0,0,0,0,29,40,23,25,29,30,23,21,20,0,0,0,0,240
126515001,Philadelphia City SD,SD,Philadelphia,3626,Kelley William D Sch,F,0,0,16,0,0,0,0,0,32,32,19,24,28,21,17,15,20,0,0,0,0,224
126515001,Philadelphia City SD,SD,Philadelphia,3626,Kelley William D Sch,M,0,0,18,0,0,0,0,0,28,50,17,24,29,28,18,15,18,0,0,0,0,245
126515001,Philadelphia City SD,SD,Philadelphia,5294,Kelly John B Sch,F,0,0,0,0,0,0,0,0,64,57,60,45,36,49,0,0,0,0,0,0,0,311
126515001,Philadelphia City SD,SD,Philadelphia,5294,Kelly John B Sch,M,0,0,0,0,0,0,0,0,71,72,57,58,56,48,0,0,0,0,0,0,0,362
126515001,Philadelphia City SD,SD,Philadelphia,7852,Kensington Creative & Performing Arts HS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,64,47,35,204
126515001,Philadelphia City SD,SD,Philadelphia,7852,Kensington Creative & Performing Arts HS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,56,54,50,242
126515001,Philadelphia City SD,SD,Philadelphia,7855,Kensington Culinary Arts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,54,44,37,204
126515001,Philadelphia City SD,SD,Philadelphia,7855,Kensington Culinary Arts,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,36,28,186
126515001,Philadelphia City SD,SD,Philadelphia,7851,Kensington Intern Business Finance & En,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,40,31,21,141
