AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Total
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,28,27,0,95
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,24,21,0,88
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,13,11,2,3,0,34
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,M,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,1,8,9,2,3,0,30
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,F,0,0,0,0,0,0,0,0,30,54,38,30,26,17,13,0,7,10,0,0,0,0,0,225
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,M,0,0,0,0,0,0,0,0,26,35,30,12,15,22,6,0,6,3,0,0,0,0,0,155
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,F,0,0,0,0,0,0,0,0,27,28,24,25,21,24,15,0,7,0,0,0,0,0,0,171
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,M,0,0,0,0,0,0,0,0,25,23,23,27,28,23,10,0,17,0,0,0,0,0,0,176
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,F,0,0,0,0,0,0,0,0,32,41,39,77,36,38,28,0,30,27,0,0,0,0,0,348
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,M,0,0,0,0,0,0,0,0,46,49,52,54,32,50,33,0,27,30,0,0,1,0,0,374
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,F,0,0,10,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,M,0,0,11,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,F,0,0,0,0,0,0,0,0,0,29,40,34,42,28,20,0,22,24,0,0,0,0,0,239
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,M,0,0,0,0,0,0,0,0,0,48,37,35,32,36,18,0,21,15,0,0,0,0,0,242
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,7981,Boys Latin of Philadelphia CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,127,90,79,0,467
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,85,72,84,0,332
