AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Student ID
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,88,97,102,104,0,414
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,108,90,76,83,0,384
126511563,Esperanza Cyber CS,CS,Philadelphia,8216,Esperanza Cyber CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,7,20,13,10,1,0,72
126511563,Esperanza Cyber CS,CS,Philadelphia,8216,Esperanza Cyber CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,7,23,12,11,3,0,69
126513100,Eugenio Maria De Hostos CS,CS,Philadelphia,7564,Eugenio Maria DE Hostos CS,F,0,0,0,0,0,0,0,0,21,50,44,24,22,17,24,0,22,13,0,0,0,0,0,237
126513100,Eugenio Maria De Hostos CS,CS,Philadelphia,7564,Eugenio Maria DE Hostos CS,M,0,0,0,0,0,0,0,0,23,55,38,19,17,22,13,0,20,10,0,0,0,0,0,217
100510000,First Phila CS For Literacy,CS,Philadelphia,7744,First Phila CS For Literacy,F,0,0,0,0,0,0,0,0,82,70,81,37,33,44,56,0,56,60,0,0,0,0,0,519
100510000,First Phila CS For Literacy,CS,Philadelphia,7744,First Phila CS For Literacy,M,0,0,0,0,0,0,0,0,79,72,70,41,44,33,23,0,46,37,0,0,0,0,0,445
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,7857,Folk Arts-Cultural Treasures CS,F,0,0,0,0,0,0,0,0,23,30,30,26,26,30,34,0,21,23,0,0,0,0,0,243
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,7857,Folk Arts-Cultural Treasures CS,M,0,0,0,0,0,0,0,0,27,24,23,29,28,24,21,0,31,27,0,0,0,0,0,234
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,163,126,139,0,585
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,102,111,93,0,428
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,F,0,0,0,0,0,0,0,0,55,45,44,59,55,52,55,0,43,41,0,0,0,0,0,449
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,M,0,0,0,0,0,0,0,0,46,58,59,44,49,52,55,0,55,35,0,0,0,0,0,453
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,98,85,0,0,67,91,69,77,72,0,559
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,67,79,0,0,46,54,53,49,41,0,389
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,F,0,0,0,0,0,0,0,0,38,39,41,57,40,47,41,0,46,45,0,0,0,0,0,394
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,M,0,0,0,0,0,0,0,0,38,38,38,30,41,34,38,0,34,22,0,0,0,0,0,313
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,F,0,0,0,0,0,0,0,0,41,34,37,26,12,10,14,0,9,11,0,0,0,0,0,194
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,M,0,0,0,0,0,0,0,0,37,45,42,26,14,17,11,0,15,12,0,0,0,0,0,219
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,F,0,0,0,0,0,0,0,0,37,38,43,51,69,43,54,0,51,43,62,0,0,0,0,491
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,M,0,0,0,0,0,0,0,0,44,39,60,49,69,34,45,0,33,34,50,0,0,0,0,457
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,32,39,0,127
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,23,49,0,137
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,F,0,0,0,0,0,0,0,0,25,30,22,26,33,20,33,0,27,19,0,0,0,0,0,235
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,M,0,0,0,0,0,0,0,0,24,22,31,21,16,17,31,0,23,16,0,0,0,0,0,201
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,69,77,62,0,300
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,83,94,70,0,368
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,F,0,0,0,0,0,0,0,0,50,45,45,50,46,48,41,0,39,53,0,0,0,0,0,417
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,M,0,0,0,0,0,0,0,0,42,49,48,46,50,41,49,0,42,30,0,0,0,0,0,397
133513315,John B. Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,65,69,0,99,93,0,0,0,0,0,326
133513315,John B. Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,63,91,0,126,129,0,0,0,0,0,409
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,F,0,0,0,0,0,0,0,0,39,34,40,0,0,41,52,0,56,37,59,54,45,4,0,461
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,M,0,0,0,0,0,0,0,0,36,41,35,0,0,55,43,0,39,39,67,45,33,1,0,434
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,F,0,0,0,0,0,0,0,0,0,0,0,0,0,44,46,0,41,35,0,0,0,0,0,166
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,M,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,0,43,37,0,0,0,0,0,169
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,F,0,0,0,0,0,0,0,0,25,27,23,33,27,22,28,0,35,32,0,0,0,0,0,252
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,M,0,0,0,0,0,0,0,0,25,27,27,21,24,29,20,0,15,15,0,0,0,0,0,203
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,F,0,0,0,0,0,0,0,0,32,42,25,19,27,27,28,0,23,19,0,0,0,0,0,242
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,M,0,0,0,0,0,0,0,0,29,35,20,28,16,26,15,0,19,16,0,0,0,0,0,204
126513150,MAST Community Charter School,CS,Philadelphia,7574,MAST Community Charter School,F,0,0,0,0,0,0,0,0,58,43,42,42,44,60,50,0,58,58,48,58,48,45,0,654
126513150,MAST Community Charter School,CS,Philadelphia,7574,MAST Community Charter School,M,0,0,0,0,0,0,0,0,46,38,42,41,39,52,60,0,52,54,60,58,54,56,0,652
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,7672,Mariana Bracetti Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,104,116,114,96,90,60,0,669
126513480,Mariana Bracetti Academy CS,CS,Philadelphia,7672,Mariana Bracetti Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,85,87,96,79,83,61,0,572
126510014,Maritime Academy Charter School,CS,Philadelphia,7777,Maritime Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,22,30,51,0,77,95,49,32,29,29,0,414
126510014,Maritime Academy Charter School,CS,Philadelphia,7777,Maritime Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,22,25,57,0,53,52,47,34,41,28,0,359
126519644,Mastery CS-Cleveland Elementary,CS,Philadelphia,8259,Mastery CS-Cleveland Elementary,F,0,0,0,0,0,0,0,0,47,52,44,46,38,43,23,0,30,32,0,0,0,0,0,355
126519644,Mastery CS-Cleveland Elementary,CS,Philadelphia,8259,Mastery CS-Cleveland Elementary,M,0,0,0,0,0,0,0,0,38,29,43,39,44,29,38,0,43,35,0,0,0,0,0,338
126511748,Mastery CS-Clymer Elementary,CS,Philadelphia,8208,Mastery CS-Clymer Elementary,F,0,0,0,0,0,0,0,0,41,26,24,26,26,21,29,0,30,24,0,0,0,0,0,247
126511748,Mastery CS-Clymer Elementary,CS,Philadelphia,8208,Mastery CS-Clymer Elementary,M,0,0,0,0,0,0,0,0,42,34,31,26,35,31,21,0,29,21,0,0,0,0,0,270
126513734,Mastery CS-Gratz Campus,CS,Philadelphia,8207,Mastery CS-Gratz Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,155,117,114,0,526
126513734,Mastery CS-Gratz Campus,CS,Philadelphia,8207,Mastery CS-Gratz Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,166,101,118,0,594
126516457,Mastery CS-Harrity Campus,CS,Philadelphia,8153,Mastery CS-Harrity Campus,F,0,0,0,0,0,0,0,0,55,45,53,42,54,35,40,0,36,46,0,0,0,0,0,406
126516457,Mastery CS-Harrity Campus,CS,Philadelphia,8153,Mastery CS-Harrity Campus,M,0,0,0,0,0,0,0,0,41,51,55,64,54,46,63,0,45,35,0,0,0,0,0,454
126519433,Mastery CS-Mann Campus,CS,Philadelphia,8152,Mastery Charter School Mann Campus,F,0,0,0,0,0,0,0,0,35,39,43,34,38,29,34,0,0,0,0,0,0,0,0,252
126519433,Mastery CS-Mann Campus,CS,Philadelphia,8152,Mastery Charter School Mann Campus,M,0,0,0,0,0,0,0,0,40,41,38,43,35,48,33,0,0,0,0,0,0,0,0,278
151514721,Mastery CS-Pickett Campus,CS,Philadelphia,7961,Mastery CS-Pickett Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,70,52,70,57,39,0,346
151514721,Mastery CS-Pickett Campus,CS,Philadelphia,7961,Mastery CS-Pickett Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,62,89,43,52,51,0,383
126510022,Mastery CS-Shoemaker Campus,CS,Philadelphia,7909,Mastery CS -Shoemaker Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,67,63,57,64,57,0,371
126510022,Mastery CS-Shoemaker Campus,CS,Philadelphia,7909,Mastery CS -Shoemaker Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,67,67,44,59,47,0,350
126517286,Mastery CS-Smedley Campus,CS,Philadelphia,8151,Mastery CS-Smedley Campus,F,0,0,0,0,0,0,0,0,56,46,57,43,53,41,35,0,0,0,0,0,0,0,0,331
126517286,Mastery CS-Smedley Campus,CS,Philadelphia,8151,Mastery CS-Smedley Campus,M,0,0,0,0,0,0,0,0,52,69,52,61,56,60,51,0,0,0,0,0,0,0,0,401
126510023,Mastery CS-Thomas Campus,CS,Philadelphia,7910,Mastery CS - Thomas Campus,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,55,77,64,42,32,0,331
126510023,Mastery CS-Thomas Campus,CS,Philadelphia,7910,Mastery CS - Thomas Campus,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,57,67,47,55,33,0,309
126510002,Mastery Charter High School,CS,Philadelphia,7678,Mastery Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,56,46,41,52,0,293
126510002,Mastery Charter High School,CS,Philadelphia,7678,Mastery Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,47,34,41,40,26,0,248
126513230,Math Civics and Sciences CS,CS,Philadelphia,7582,Math Civics and Sciences CS,F,0,0,0,0,0,0,0,0,0,38,43,45,56,48,44,0,40,46,38,45,39,35,0,517
126513230,Math Civics and Sciences CS,CS,Philadelphia,7582,Math Civics and Sciences CS,M,0,0,0,0,0,0,0,0,0,43,38,37,35,31,36,0,39,28,34,30,32,30,0,413
126519392,Memphis Street Academy CS @ JP Jones,CS,Philadelphia,8257,Memphis Street Academy CS @ JP Jones,F,0,0,0,0,0,0,0,0,0,0,0,0,0,70,82,0,95,93,0,0,0,0,0,340
126519392,Memphis Street Academy CS @ JP Jones,CS,Philadelphia,8257,Memphis Street Academy CS @ JP Jones,M,0,0,0,0,0,0,0,0,0,0,0,0,0,78,120,0,120,121,0,0,0,0,0,439
126513000,Multi-Cultural Academy CS,CS,Philadelphia,7546,Multi-Cultural Academy CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,38,36,0,156
126513000,Multi-Cultural Academy CS,CS,Philadelphia,7546,Multi-Cultural Academy CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,16,21,0,91
